Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
7.584639498432601989e+00,6.833072100313479780e+00,1.834196958598691030e+00
7.707680250783699449e+00,7.042319749216300551e+00,1.845324386802637884e+00
7.910658307210031381e+00,7.070532915360501214e+00,1.834818423652525787e+00
8.009745127436282530e+00,7.167916041979010444e+00,1.886042723833549317e+00
8.242878560719640646e+00,7.322338830584707914e+00,1.798530500672463894e+00
8.287106446776611790e+00,7.392053973013493540e+00,1.794792534569226383e+00
8.242128935532234024e+00,7.347826086956521507e+00,1.852045000687451815e+00
8.182908545727135774e+00,7.297601199400300054e+00,1.763042768176691588e+00
8.159670164917541157e+00,7.383058470764617631e+00,1.875585077852483851e+00
8.122938530734632678e+00,7.249625187406296689e+00,1.792075066948727979e+00
8.074212893553223580e+00,7.281109445277361480e+00,1.859614520680338945e+00
8.190404797601200215e+00,7.299100449775112409e+00,1.840977258290640517e+00
3.349775112443778369e+01,2.831259370314842627e+01,2.259950787985896437e+00
9.777945402298850297e+01,8.696264367816091578e+01,1.849626691404216761e+00
9.777083333333332860e+01,8.680818965517241281e+01,1.827527827539368488e+00
9.808045977011494188e+01,8.700071839080459313e+01,1.841497366974153893e+00
9.830962643678161328e+01,8.758045977011494188e+01,1.853305580349299264e+00
9.906896551724138078e+01,8.841091954022988375e+01,1.847097361317660891e+00
9.936278735632184578e+01,8.953520114942529062e+01,1.850126925507677544e+00
9.933379310344827218e+01,8.934344827586207316e+01,1.856007791197976875e+00
9.945931034482758548e+01,8.940206896551724469e+01,1.856195484137803220e+00
9.949241379310345224e+01,8.969862068965517210e+01,1.858461426062893995e+00
9.927655172413793139e+01,8.971793103448275986e+01,1.872192897512291676e+00
9.968137931034482335e+01,8.979241379310344939e+01,1.863807016734359223e+00
9.948413793103448199e+01,8.953241379310344428e+01,1.869690771766360671e+00
9.963655172413793082e+01,8.996758620689655572e+01,1.871028452548773036e+00
9.979241379310344939e+01,8.999586206896552198e+01,1.843970926105330310e+00
9.941614035087719969e+01,8.974245614035088181e+01,1.854390086256356707e+00
9.931578947368420529e+01,8.947298245614035750e+01,1.832553177781815812e+00
